reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,na,horse-hoof core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,na,pebble core implement,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,21,karta,yes,subcategory,"""Karta.-E.48713-4, 48797 (PI. vi, fig. 2), 48809. Made from either the core or slice portions of a split-pebble, though all may be regarded as core implements. The working edge is chipped from the cleavage surface.""",na,na,no,explicit,no,explicit,explicit,typological,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,na,uniface pebble implement,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,21,uniface pebble implement type A,yes,subcategory,"""Working edge on one lateral margin (PI. vi, fig. 3).""",na,na,no,explicit,no,implicit,explicit,typological,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,22,uniface pebble implement type B,yes,subcategory,"""Working edge on one end.""",na,na,no,explicit,no,implicit,explicit,typological,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,22,uniface pebble implement type C,yes,subcategory,"""Working edge on one end and on one or both lateral margins (PI. vi, fig, 5).""",na,na,no,explicit,no,implicit,explicit,typological,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,22,uniface pebble implement type D,yes,subcategory,"""Trimmed on edge of cleavage surface.""",na,na,no,explicit,no,implicit,explicit,typological,New South Wales,
"McCarthy, F.D. 1941 Two pebble industry sites of Hoabinhien I type on the north coast of New South Wales. Records of the Australian Museum 21(1):21–26.",paper,1941,22,uniface pebble implement Sumatra type,yes,subcategory,"""One surface of the pebble is flaked, and its margin is triinmed.""",na,na,no,explicit,no,implicit,explicit,typological,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,conical core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,core with one striking platform,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,core with two or more striking platforms at angles to one another,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,core with two striking platforms at opposite ends,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,coroid,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,discoidal core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,horsehoof core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,uniface pebble implements,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1943 The coroid and knapped stone implements of the Bathurst District. Records of the Australian Museum 21(4):199–209.",paper,1943,na,nucleus,no,category,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1948 The Lapstone Creek excavation: two culture periods revealed in eastern New South Wales. Records of the Australian Museum 22(1):1–34.",paper,1948,na,nucleus,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1948 The Lapstone Creek excavation: two culture periods revealed in eastern New South Wales. Records of the Australian Museum 22(1):1–34.",paper,1948,na,blade core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1949 The prehistoric cultures of Australia. Oceania 19(4):305–319.",paper,1949,na,horsehoof nucleus,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1949 The prehistoric cultures of Australia. Oceania 19(4):305–319.",paper,1949,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1949 The prehistoric cultures of Australia. Oceania 19(4):305–319.",paper,1949,na,karta,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1949 The prehistoric cultures of Australia. Oceania 19(4):305–319.",paper,1949,na,semi-uniface pebble implement,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1958 Culture Succession in South Eastern Australia. Mankind 5(5):177–190.",paper,1958,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1958 Culture Succession in South Eastern Australia. Mankind 5(5):177–190.",paper,1958,na,karta,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1958 Culture Succession in South Eastern Australia. Mankind 5(5):177–190.",paper,1958,na,nucleus,no,category,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1958 Culture Succession in South Eastern Australia. Mankind 5(5):177–190.",paper,1958,na,flat-based prismatic nucleus,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,prismatic core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,203,coroid,yes,subcategory,"""The coroid group includes all implements not knapped from a core which are either a pebble, slab or lump with a used edge.""","McCarthy, F.D., E. Bramwell, and H.V.V. Noone 1946 The stone implements of Australia. Australian Museum Memoir 9:1–94.",na,no,explicit,no,explicit,no,typological,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,core with one platform,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,core with two platforms,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,core with alternate platforms,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,flat-sided laminated pebble,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,spalled coroid burin,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,scaled coroid burin,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,fabricator,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,block,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,worimi,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,prismatic nucleus,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,conical core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,secondary core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,discoid core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,elongate core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,core with three platforms,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,core remnant,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1964 The archaeology of Capertee Valley, New South Wales. Records of the Australian Museum 26(6):197–246.",paper,1964,na,unspecialized core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McCarthy, F.D. 1967 Australian Aboriginal stone implements: including bone, shell and tooth implements. First. Sydney, Trustees of the Australian Museum.",book,1967,18,simple or plain platform core,yes,subcategory,"""A common type has one simple or plain platform on the end or side of a pebble or lump of stone""",na,na,no,implicit,no,no,implicit,typological,Australia,
"McCarthy, F.D. 1967 Australian Aboriginal stone implements: including bone, shell and tooth implements. First. Sydney, Trustees of the Australian Museum.",book,1967,18,horsehoof core,yes,subcategory,"""Perhaps the outstanding core type in Australia is the horsehoof, because its shape is like the hoof of a horse... a large core associated with the uniface pebble implements... It is usually made of quartzite, and those with one platform have a dome or pointed platforms. There may be a second platform at an angle to the first one, and some three platforms. Many of these cores are beautifully shaped with a carefully trimmed edge around the platform. Horsehoofs are up to 15 inches in length and width.""",na,na,no,implicit,explicit,explicit,explicit,typological,Australia,
